LOC_ID,LATITUDE,LONGITUDE,MONTH,DAY,TIME,STATE_PROVINCE,COUNTY,COUNT_TYPE,EFFORT_HRS,EFFORT_DISTANCE_KM,EFFORT_AREA_HA,GROUP_ID,POP00_SQMI,HOUSING_DENSITY,BCR,BAILEY_ECOREGION,OMERNIK_L3_ECOREGION,CAUS_TEMP_MAX,NLCD2001_FS_C42_7500_PLAND,Agelaius_phoeniceus	
L127452,24.6276,-82.8728,4,107,11.5,Florida,Monroe,P22,3,0.402,0,?,?,?,?,-411A,76,7,0,0	
L127449,24.5463,-81.8106,4,116,8.7,Florida,Monroe,P22,1.5,1.609,0,?,738.3,591.8242831,?,?,?,7,0,0	
L127446,24.5734,-81.7496,1,29,10.5,Florida,Monroe,P22,1.75,3.219,0,?,2170.1,806.5051003,31,-411A,76,6,0,0	
L127452,24.6276,-82.8728,4,117,10.42,Florida,Monroe,P22,4.083,0.966,0,?,?,?,?,-411A,76,7,0,0	
L127446,24.5734,-81.7496,4,114,9.73,Florida,Monroe,P22,1.5,1.609,0,G883793,2170.1,806.5051003,31,-411A,76,7,0,0	
L127449,24.5463,-81.8106,10,303,10.75,Florida,Monroe,P22,1,0.5,0,?,738.3,591.8242831,?,?,?,7,0,0	
L127449,24.5463,-81.8106,12,341,9.25,Florida,Monroe,P22,1.067,1.609,0,G1065777,738.3,591.8242831,?,?,?,6,0,0	
L127452,24.6276,-82.8728,5,121,7,Florida,Monroe,P22,1.75,0.805,0,?,?,?,?,-411A,76,7,0,0	
L127449,24.5463,-81.8106,9,273,8,Florida,Monroe,P21,1,0,0,?,738.3,591.8242831,?,?,?,7,0,0	
L389396,24.5489969,-81.7841363,5,123,9.68,Florida,Monroe,P21,4,0,0,?,7081,3231.89027,?,-411A,76,7,0,0	
L389396,24.5489969,-81.7841363,5,122,16.98,Florida,Monroe,P21,0.5,0,0,G890214,7081,3231.89027,?,-411A,76,7,0,0	
L3233941,24.55249,-81.765864,12,357,15.47,Florida,Monroe,P21,0.267,0,0,?,1949.2,1144.513853,?,-411A,76,6,0,0	
L127452,24.6276,-82.8728,4,113,10.67,Florida,Monroe,P22,9,4.828,0,G883369,?,?,?,-411A,76,7,0,0	
L127449,24.5463,-81.8106,1,1,13.67,Florida,Monroe,P22,0.917,0.805,0,?,738.3,591.8242831,?,?,?,6,0,0	
L2993795,24.5565697,-81.7100108,9,270,11,Florida,Monroe,P22,0.333,8.047,0,G1010740,124.5,56.47481467,?,-411A,76,7,0,0	
